xx,qa06id,qa06name,qa06wher,qa06dsc,ty26colo,ty26fakt
2572498,SOR-0460-2019,DGOR-LJU-19-96 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP116/09JUL Ljubljana-Frankfurt, final destination Amsterdam it was discovered that mail accepted at:
Post Office: unknown
Air Mail Delivery Bill: CN38 SIALJ978P409/01
Mail No.: 8/001, 1 shipment  1,9 kg
contained 1 piece of flammable aerosol

Aerosols containing flammable gas under pressure are identified under UN1950 and are completely forbidden in Air Mail by Adria Airways and by UPU convention, ICAO TI and IATA.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
2570191,SR-0059-2019,Unfit,Ljubljana,Call in unfit due to fatigue.,0,4
1953438,ADR MOR-0007-2017,Inaccurate handling of ACFT during SID ,Departure / LFPG / JP343,During departure from RWY08R inaccurate manual handling of the aircraft during initial climb phase lead us to HDG issued by ATC due to much drift to the North. We noticed another ACFT on 3.5NM from us on same altitude not departed from LFPG most probably. Drift was noticed by PNF pretty much soon and scale showed maybe 1/3 dot of deflection when PF corrected inputs obviously to late. ATC told us that was the reason to issue HDG instructions so soon after departure.,0,4
1898481,ADR MOR-0105-2016,Windshear,LGGG / after TO / JP547,"After take-off, we had positive and negative windshear at the same time, steady climb profile V/S+2000 ft/min",0,2
2573964,SOR-0467-2019,DGOR-LJU-19-97 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP116/10JUL Ljubljana-Frankfurt, final destination Tallinn it was discovered that mail accepted at:
Post Office: 2102 Maribor
Air Mail Delivery Bill: CN38 SIALJ97APJ05/01
Mail No.: 3/002, 1 shipment  3,34 kg
contained 3 pieces of flammable aerosols

Aerosols containing flammable gas under pressure are identified under UN1950 and are completely forbidden in Air Mail by Adria Airways and by UPU convention, ICAO TI and IATA.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
2013104,SOR-0136-2017,"Two rejected takeoffs, S5AAO AOG",Europe and North Atlantic - Slovenia / LJLJ / ADR434,"Aircraft returned to operation from maintenance after engine change with clean technical status.
Two rejected takeoffs at LJU were performed due to repetitive caution msg's during acceleration, approaching speed approx. 100 kts. After consultation with fleet technical pilot regarding appearing msg's, we reached conclusion, probable cause was clogged pitot system, as msg's disapeared during deceleration. Msg's were as listed in the QRH2 Unreliable speed checklist with addition of MACH TRIM caution msg.
I was advised, aircraft exterior ceaning was allso performed, before it was returned to operation.",1,50
2066652,SR-0069-2017,DEPA AND FRENCH POLICE,jp323,"CDG - LJU

Two DEPA passengers were expected on this flight.
The police van arrived late, just minutes before the bus with the passengers.
The Escort brought the  baggage first. He asked me and my colleague to step away from the aisle during the boarding in order not to get hurt by the boarding DEPA. I informed my Captain about this demand.

The DEPA was seated at the back of the van. When they wanted to get him out, he started protesting loudly, he wanted to stay in, but with his hands and legs tied tightly, he had little chance. The police violently forced him out. The other DEPA still in the van, was constantly shouting obscenities very loudly.
The bus with our passengers arrived, they were all watching in horror as the Police tried to drag the tied passenger towards the airplane.
I pleaded them repeatedly to stop the violence, but to no avail.

The Captain told the Police that he is refusing the boarding of both DEPA. He calmly explained possible ways of transport for such passengers.
After some time the police van gave enough space, so our passengers could board the plane, many of them asking what is going on.

When the boarding was completed, the Police van was still waiting beside our aircraft. The Captain asked me to close the door. The door was half-way closed, when suddenly one of the Policemen started pushing the stairs down, shouting ""Stop! Stop!"". I slowly let the stairs back down again, afraid he will force them down otherwise and break something.  
The Captain asked me again to close the door, which I did. At that time the Police  van moved up front, blocking our way out.

The Captain made the announcement to the passengers, explaining the situation. 
During the wait, we made complimentary water, coffee and tea service, giving short explanations to the passengers.

After additional Captain's intervention the Police moved and we were able to depart about half an hour after the scheduled departure time.

During the flight one of the passengers asked if she could write a report, also a Slovene couple told me they have already sent a report about the situation.
",0,2
2069488,SOR-0343-2017,S5-AAR no slide deployment during test,Europe and North Atlantic - Slovenia / Airport Jožeta Pučnika AAT Hangar,schedule operational check of RH AFT PAX door slide deployment as required per MRB 25.62.00/04 on MSN 4301. Slide did not deploy in full extend.,0,2
2012343,SOR-0135-2017,Birdstrike,Europe and North Atlantic - Poland / WAW / JP938,Nil,0,1
1967957,SOR-0044-2017,unstabilised approach,Europe and North Atlantic - Slovenia / ljlj / JP377,During visual approach fully stabilised at 700ft.,0,1
2573841,SOR-0464-2019,Discontinued approach,Europe and North Atlantic - Kosovo / B KPR / JP157,"Too high and too fast in non precision approach VOR 35 P in PRN. We requested from ATC to make oneracetrack pagttern to be able to loose altitude. Racetrack is part of VOR 35 S procedure so we considered it to be safe to enter the pattern and descend thento 6800 ft, altitude at which should be at 15 DME to continue continuous descent approach. ATC Controller idea was different and he requested to climb to 9000ft and make full VOR35 S procedure. We complied of course but forgot ta raise the landing gear.",0,2
2575832,SOR-0474-2019,DGOR-LJU-19-98 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP306/10JUL Ljubljana-Zurich, final destination Seoul it was discovered that mail accepted at:
Post Office: 1101 Ljubljana
Air Mail Delivery Bill: CN38 SIALJ97APQ0E/01
Mail No.: 53/001, 1 shipment  23,5 kg
Contained: 1 piece of flammable aerosol

Aerosols containing flammable gas under pressure are identified under UN1950 and are completely forbidden in Air Mail by Adria Airways and by UPU convention, ICAO TI and IATA.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
1892011,ADR MOR-0070-2016,PUSH BACK WITHOUT CLEARANCE FROM THE COCKPIT,DENMARK / EKCH / jp511,While FO read back our push back clearance the push back truck started pushback without authorisation from the cockpit. Since I have anticipated the problems brakes where released beforehand and push back was conducted normally.,0,1
1964103,SOR-0013-2017,INTENTIONAL ATTEMPT OF FOOD POISONING,Europe and North Atlantic - Slovenia / ljlj,On a flight JP 939 from WAW to LJU we have sold sendwiches which due date was deliberately written of by black marker. It was brought to us attention by a passenger Polak Benjamin who actually eat some bites from sandwich. we have stopped selling those sandwiches and take a closer look at the due date. We found out that the due date was on 26. january 2017.  I request immediate inquiry of the situation. Sandwiches were taken from the airplane and given in custody of a dispather on duty for further investigation by safety officer.,0,1
2065459,SR-0068-2017,FMS Database,CRJ Fl,"Že vsaj 6 mesecev imamo na CRJ floti nepopolno FMS podatkovno bazo. Na letališčin kjer smo vsakodnevni gostje manjkajo ARR, TRANS in APRCH. Na nekaterih letališčih so APRCH nepopolni - manjkajo OM Ali OM substituti. Naj naštejem samo nekaterih primere: 
V LJU manjkajo LBL transition in na ILS-u MG OM
V TIA manjka VOR APPR za RWY 35
V BRU manjka FLO TRANSITION za ILS RWY 25L in ILS RWY 25R
V SVO manjka ARR UM 25A
In še bi lahko našteval.
Ker sem mislil, da se bo to uredilo z naslednjim ciklom FMS podatkovne baze, ampak je v resnici z vsakim FMS ciklom slabše in noben od pristojnih ne reagira sem primoran napisati poročilo. Vse kar dobimo je obvestilo FLIGHT STANDARD PILOTA o pomanjkljivi podatkovni bazi FMS, ki je seveda tudi promankljivo, ker ne vsebuje vseh manjkajočih ARR, TRANS in APRCH. Čas bi že bil, da se stvar uredi, ker močno dvomim, da LH, SAS, NORDICA,  Aeronostrum letijo s pomankljivo FMS podatkovno bazo. Razagle, da naš FMS ne zna prebrati kodiranja podatkovne baze je kupim. Kar je pa še bolj bizarno je to da točke so v FMS podatkovni bazi samo povezane niso v ARR, TRANS ali APRCH. Naj povem, da ILS lahko odletiš brez ustrezne FMS baze, GPS Approacha pa ne moreš.",0,4
1955138,ADR MOR-0008-2017,EGPW glideslope warning ,LJLA / LJLJ / JP365,Visual approach to LJLJ. Ducked under the glideslope (green needles) one dot at height about 600ft. Normal landing at maximum landing weight. ,0,1
1898445,SR-0034-2016,COM1 FAIL,LGKL JP217,After lightning strike most likely we lost COM1 transmission. We were using COM3 found ok the reminder of the flight.,0,1
1799087,ADR MOR-0044-2016,Bank angle,LJLA / Škofja loka / JP128,"During departure RWY30, Modro 1W, manual flying at 7000ft in H180°, speed 210kts, flaps 0°, right turn exceeded bank 30°, then bank corrected and normal operation followed.",0,1
2413966,SOR-0262-2019,"Fatigue - planning, rotations, time pressure, sectors, hotel",Europe and North Atlantic - Slovenia / lju,"Factors during previous scheduled block affecting fatigue accumulation;

First day start with the lecture at the company, there after duty of 5 days, 20 planed sectors - inappropriate planing!

Short, time pressing rotations. No time for any crew members personal needs during duty, rush all the  time!

Hotel hot room with night time running ambulances noise and uncontrollable room temperature!

Food quality shall be increased and time frame for meal included during dutys for cabin crews!

On the fifth day after second sector I was to tired for duty continuation and I reported unfit.",0,4
2579358,SOR-0490-2019,DGOR-LJU-19-99 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP116/16JUL Ljubljana-Frankfurt, final destination madrid it was discovered that mail accepted at:
Post Office: 2104 Maribor
Air Mail Delivery Bill: CN38 SIALJ97FP40I/01
Mail No.: 148/001, 1 package 2,495 kg
contained 1 piece of electronic device powered by lithium ion battery (laptop computer)

Electronic devices powered by lithium ion batteries are identified under UN3481 “Lithium ion batteries contained in equipment”, hazard class 9 and are completely forbidden in Air Mail by Adria Airways embargo.

These devices are conditionally permitted by UPU convention, ICAO TI and IATA DGR if Designated Postal Operator has received approval from CAA. Pošta Slovenije is on 16.07.2019 NOT listed on the UPU List of Approved  DPO to accept lithium batteries contained in equipment.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
2580712,SOR-0498-2019,DGOR-LJU-19-100 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP1306/17JUL Ljubljana-Zurich, it was discovered that mail accepted at:
Post Office: 1114 Ljubljana
Air Mail Delivery Bill: CN38 SIALJ97HPP0N/01
Mail No.: 119/003, 1 package 3,4 kg
Contained: 1 piece of flammable gas cartridge 

Gas cartridges containing flammable gas are identified under UN2037 “Gas cartridge (flammable) without a release device, non-refillable”, hazard division 2.1 and are completely forbidden in Air Mail.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
1745476,CAA MOR-0071-2015,Glide slope warning,LJLA / LJLJ / JP365,"During visual approach to LJLJ (RWY 30, LH circuit) in final one dot below G/S, triggering GS warning. Approach was performed by CM2 flying in green needles.",0,4
2287838,SOR-0574-2018,Autopilot u/s,Europe and North Atlantic - Slovenia / EDDF / JP125,After take off in FRA we were unable to engage autopilot. Flight was continued to LJU without autopilot.,0,2
1965311,SOR-0025-2017,GEN 2 OFF dduring cruise (twice),Europe and North Atlantic - Belarus / Minsk Control / JP914,During cruise twice GEN 2 OFF caution MSG appeared when voltage on ELEC page GEN 2 increased above 121 V. QRH procedure completed.,0,1
2571882,SR-0061-2019,Unfit to fly 07.07.2019,Ljubljana (night Tel Aviv flight),"Dear all,

I declared unfit to fly for tonights 08.07.2019 Tel Aviv flight with check in at around 1 am, as a consequence of previous planning. Yesterday I was flying Night Hurghada, day before i was waking up at 3 am in Tirana, and have flown 4 sectors after. 
Also a roster block before I had only morning flights with average CI times at 5 am or earlier!

I think such transitions from so early check ins to night flying should be avoided, as it has a huge impact on biorhythm and fatigue!

Best regards,
Tine Zajšek",1,20
2548541,SOR-0409-2019,Engine vibration,Europe and North Atlantic - Slovenia / MAG point / LGL9412,"During climb with thrust levers set on climb thrust LEFT engine N1 fan vibration level exceeded 1.75 and entered amber range. When reached 1.8, we did QRH and adjusted thrust accordingly.
With the cruise thrust setting vibration indication was in green range ( 1.0 to 1.5 ).
ATL entry was made.
",0,1
2541341,SOR-0400-2019,1x G/A ,Europe and North Atlantic - Germany - Oberbayern (BY) / EDDM ,1x G/A ,0,2
1968562,SOR-0047-2017,No arming of FINAL APP mode,Europe and North Atlantic - Slovenia / VOR APP 30 LJLJ / JP117,No arming of FINAL APP mode. After being cleared for VOR 30 in LJLJ the APP FINAL mode was selected but did not arm itself after passing the extended RW 30 centerline. After corrected heading and crossing the centerline again but from the left side the mode became active. The approach was continued normally. ,0,1
2013965,SR-0028-2017,Docking guiding system at Ljubljana Airport,Parkink stands with jet stairs,"Opazil sem, da ko parkiramo letalo CRJ 700 na parkirne pozicije 3 - 6, je na ekranu docking guiding systema napis CRJ 900. Da ne bi prišlo do kakšnega nesporazuma, bi bilo dobro, da bi imeli še asistenco marshallerja za parkiranje  letala.",0,1
2574987,SOR-0470-2019,Possible landing outside touchdown zone,Europe and North Atlantic - Moldova / Chisnau airport / OS655,"Complete approach was flown in stabilization criteria. Due to a high flare the plane entered ground effect and made a soft touchdown possible outside the touchdown zone.

",0,4
2540365,SOR-0392-2019,Ground conflict with farming equipment,Europe and North Atlantic - Slovenia / LJLJ,Ground conflict with farming equipment,0,1
2012065,SOR-0134-2017,R FUEL PRESS LO,Europe and North Atlantic - Slovenia / LJLJ / JP838,R FUEL PRESS LO EICAS message appeared during taxi out. Unable to resolve so we turned back to apron.,0,1
2580919,SOR-0501-2019,DGOR-LJU-19-102 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP376/18JUL Ljubljana-Brussels, final destination Vilnius, it was discovered that mail accepted at:
Post Office: 4102 Kranj
Air Mail Delivery Bill: CN38 SIALJ97IPJ08/01
Mail No.: 61/001, 1 shipment: 3,7 kg
contained 1 piece of flammable liquid

Products containing flammable liquids are identified under UN1993 “Flammable liquid n.o.s.”, hazard class 3 and are completely forbidden in Air Mail by Adria Airways and by UPU convention, ICAO TI and IATA.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
1892891,CAA MOR-0068-2016,Electrical short circuit,EDGG / EDDF / JP114,"After landing, during taxiing to the parking position we experienced sparks below sliding window on the CM2 side caused by elec. short circuit. Maintenance action was taken. ",0,1
2015162,SOR-0140-2017,Bird strike ,Europe and North Atlantic - Slovenia / LJLJ / ADR137,Nil,0,1
2415001,SOR-0264-2019,Fatigue,Europe and North Atlantic - Austria / LOWW / OS744,"On austrian flight on 12th. April we had pick up at 3:40 AM localy from the hotel. We had a flight to VIE followed by another flight to WAW and back to VIE.
Allready on flight to WAW we felted quite sleepy and fatiqued. On the flight back to VIE the fatique or to be more correct sleepines was so hight that we were bearly able to perform in safe mather. As a human being we can not ""turn"" the swithch in our heads and fell a sleep at 19h or 20h hour on previos day. This is against safe operation. Next time I will refuse such fliggt in the name of safety of the flight. I will make the report to slovenian CAA and EASA because I want this kind of modus operandum to stop. After such early start we should not make another flight from VIE",0,4
2580776,SOR-0500-2019,DGOR-LJU-19-101 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Cargo Terminal,"During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP136/17JUL Ljubljana-Vienna, final destination Moscow it was discovered that mail accepted at:
Post Office: 1131 Ljubljana
Air Mail Delivery Bill: CN38 SIALJ97HPQ0G/01
Mail No.: 138, 1 package 1,1kg
contained 5 pieces of electronic devices powered by lithium ion battery (smartphones)

Electronic devices powered by lithium ion batteries are identified under UN3481 “Lithium ion batteries contained in equipment”, hazard class 9 and are completely forbidden in Air Mail by Adria Airways embargo.

These devices are conditionally permitted by UPU convention, ICAO TI and IATA DGR if Designated Postal Operator has received approval from CAA. Pošta Slovenije is on 17.07.2019 NOT listed on the UPU List of Approved  DPO to accept lithium batteries contained in equipment.

This dangerous goods occurrence is reported as attempted carriage of dangerous goods. The package was returned to Pošta Slovenije d.o.o. with request for root cause and corrective action.",0,2
1947716,SH-0015-2016,Cat 3a approach which leaded to possible off rwy landing,LJU adr 109,Duting cat 3 app we had several timea localiser movement. At app 100 feet I decidet to do go around due tu aircraft was far right of the centerline. Please I would like to know if it was poor flying from my side or it was something wrong with the system. Later sucessfull cat 2 landing,0,2
1967067,SOR-0030-2017,Not complying with the altitude constraint,Europe and North Atlantic - Germany / Didum,Following the ASPAT 1W arrival we missed the altitude constraint over DIDUM by cca 1000Ft due to FMS preparation. The flight path was observed to late to correct the situation. The ATC warned us and we confirmed being to high.,0,1
1723894,SR-0003-2015,Spurious GPWS alert RA1 wrong indication,LJLJ ILS APP FAP,"During ILS interseption, at approx. 4500ft, half dot above GP, we received GPWS Terrain terrain for appr 2sec. Since we have ground contact we continued the app.

Similar situation was observed during arrival in FRA (time approx. 18:30). We were radar vectored, at appr 5000ft. Additionally RA1 was indicated spurious indication between 600-800ft, despite we were well above 2500ft AGL.

ATL was filled accordingly!",0,2
1898454,BSTR-0011-2016,Bird Strikes: NR,NR / NR,"During exterior inspection in TIA, we saw traces of bird on upper left side of radome. No damage found.",0,1
2577701,SOR-0477-2019,Birdstrike,Europe and North Atlantic - Slovenia / Ljlj / JP839,Na rollout-u zadeli postovko.. ptico so našli v enem kosu.poškodb na letalu ni.,0,4
1723176,CAA MOR-0034-2015,Calcker for F45 selection,LJLA / Base turn 30 / JP311,On vis apr. to Lju in base turn clacker for F45 came on for a second due to speed IAS 170. Reselected immediately to F30.,0,4
1707463,ADR MOR-0006-2015,Flaps fail,LJU Term,"During visual approach, flaps failed at position  0. Normal LDG, during final stage of approach, we got GPWS above glideslope. LGD was made within parameters (TCH down zone - last part).",0,4
2540496,SOR-0395-2019,Altitude constrain violation,Europe and North Atlantic - Austria / Austria / JP102,"Med spuščanjem proti EDDM nam je bilo s strani kontrole zračnega prometa (Avstrijske) naročeno naj letimo proti točki REDBU, ter začnemo spuščanje na FL 140, da preletimo točko na tej višini. Začeli smo spuščanje proti točki, vendar sem v vmesnem času pozabil na zahtevano višino. Zato smo točko REDBU preleteli 5000 ft previsoko na kar nas je opozorila tudi kontrola zračnega prometa. Kontroli smo se opravičili za nastalo situacijo. Kontrola je opravičilo sprejela.",0,2
2415997,SOR-0268-2019,Taxylane incursuon on apron,Europe and North Atlantic - Germany - Oberbayern (BY) / EDDM  / LH1630,"Med solanjem kandidata, ki je bil prvic v MUC sem pri sprejemanju dovoljenja za vozenje po ploscadu moral veckrat posredovati in ponoviti dovoljenje zemeljskemu kontrolorju. Nato sva dobila dovoljenje za vozenje iz N5 do S7, parkirani smo bili na Apron 5-594, pri tem pa je proti N5 vozilo letalo druge Lufthanse. Kopilot je med tem preklopil na drugo frekvenco, kar se mi ni zdelo pravilno, vendar ker je bilo veliko podobnih klicnih znakov, sem dopuscal moznost da sem sam preslisal nas klicni znak. Po nekaj 100m in po zem ko kopilot ni uspel vzpostaviti klica sem sam poklical gnd in kontrolorka je povedala da sva na napacni zvezi. Ustavi sem letalo in sam poklical prejsnjo frekvenco, kjer je kontrolor povedal, da sva prevozila rdeči stop bar on taxylane, in da naju je skusal priklicati ker sva napacno vozila po ploscadi. Nato sva nadaljevala po w2 do S7 ...",0,1
2517149,SOR-0335-2019,MULTIPLE BIRD STRIKE BERLIN TEGEL,Europe and North Atlantic - Germany - Berlin (BN) / Berlin Tegel airport / LGL9411,"Morning flight from Saarbrucken to Berlin Tegel.

At around 300ft above ground while established on final 08L, we hit multiple birds. After landing, We found two blood traces, One near to the radar cone below left cockpit windshield, the second on the left wing above the slats. After inspection we did not found any airframe damage. 

There were no evidence of engine bird strike. ",0,4
2009226,SOR-0128-2017,Soft Glideslope triggered GPWS RW 06 LKPR,Europe and North Atlantic - Czech Republic / Prague / JP568,"Da bi lahko zapustili stezo prek ""L"" sem v končnem priletu PAPI letel kot dogovorjeno v brifingu ""tri rdeče, eno belo"". Med tem se je enkrat oglasil GPWS G/S soft call. Po pristanku je ATC neglede zahteval zapustitev steze prek ""B"". :(",0,2
1882246,CAA MOR-0046-2016,GEN 2 OFF msg,slovenia / / / jp109,During approach to LJU GEN 2 OFF msg posted. QRH procedure complited and after reset generator 2 performed normaly. After landing ATL entry was made.,0,2
1975955,SOR-0059-2017,DGOR-LJU-17-30 Discovery of forbidden dangerous goods in Air Mail,Europe and North Atlantic - Slovenia / Ljubljana Airport Cargo Terminal,"This occurrence was notified to Adria Airways on 09.03.2017, 08:09 LT

During acceptance security X-ray check of Air Mail delivered by Pošta Slovenije d.o.o. for flight JP112/08MAR17 Ljubljana-Frankfurt, it was discovered that mail accepted at Post Office:
3311 Šempeter
Delivery Bill CN38 SIALJ737PQ0C/01
Mail No. 37/001, 1 CP, 18,1 kg
contained several pieces of nail polish.

Nail polish in small inner packagings containing flammable liquids is classified in hazard class 3, and identified under ID8000 “Consumer commodity” and is completely forbidden in Air Mail by UPU convention, ICAO TI and IATA DGR.
This dangerous goods occurrence is reported as attempted carriage of dangerous goods.",0,2
2417172,SOR-0270-2019,Fatigue Report,Europe and North Atlantic - Romania / DLH Operation / LH1663,"We spent five days of flying for Lufthansa operation from Temisvar. Pick-up time from the hotel was every morning at 01:40 fallowed by four sectors of flying. The hotel rooms were inappropriate because they were too hot. The temperature reached 26 degrees. The air condition was above the bed and it was impossible to use it during night. Every 10 minutes the ambulance car with the siren passed the hotel, which was also the reason that the windows had to remain closed. Because of our biorhythm, it is impossible to convince the body that it must be in bed in the middle of the afternoon to reach eight hours of sleep till pick-up. So, we went to bed every night after the sunset, followed by five hours of poor sleep due to the aforementioned circumstances. Due to lack of sleep, flying was harder every day. On the fourth day, we found out that we repeatedly overheard the ATC. We all complained about fatigue and wondered if flying was still safe. 
For the future I suggest flying within the VOCL only two consecutive nights. After two days of rest, I still wake up in the middle of the night and now I’m following morning flight schedule to tired already from the first day. 
",1,20
2540334,SOR-0391-2019,Ground conflict with farming equipment,Europe and North Atlantic - Slovenia / LJLJ,Ground conflict with farming equipment,0,2
2590003,SOR-0519-2019,Go around,Europe and North Atlantic - Austria / LOWW / OS626,Ordered to go around by ATC as the runway was blocked.,0,2
1751475,ADR MOR-0128-2015,EGPWS alert,Kosovo / BKPR / 838,"During visual approach to rwy 35 we got EGPWS alert TERRAIN. We reduced ROD and continued approach and landing rwy35, Weather CAVOK and full ground contact.",0,4
1745548,ADR MOR-0107-2015,R AOA HEAT,LJLA / climb out / JP826,R AOA HEAT during climb out from LJLJ.,0,2
1760366,BSTR-0037-2015,Bird Strike: unknown,BKPR  approach- base to landing rwy 17,no damage,0,4
1751620,CAA MOR-0081-2015,Mistakenly order to open the door,LJLJ / LJLJ / JP103,"After parking and shutting off eng. No1, mistakenly ordered to open the door. Door was opened and after switching on the GPU, the other eng. was shut off.",0,4
1744012,CAA VoOR-0003-2015,BIRD STRIKE,LJU airport / LJLJ / JP285,"After ldg roll we had a bird strike. (nose cone). Bird (lastovka) was later found on the RWY. 
Maintenance was notified.",0,4
2517751,SOR-0341-2019,Clacker,Europe and North Atlantic - Slovenia / EDDR / LGL9414,"During flap selection 45, clacker sounded for a few seconds",0,4
1896442,SS-0003-2016,Green laser beam projected from Lasnamäe high buildings towards A/C approx 5 nm Final RWY26 in EETN,Tallinn/JP7432,Green laser beam projected from Lasnamäe high buildings towards A/C approx 5 nm Final RWY26 in EETN. ATC was notified.,0,2
2256978,SOR-0460-2018,Medical problems with the passenger,Europe and North Atlantic - Italy / LIPE / AUA535,"During approach to BLQ the cockpit received a notice about the passenger health problems. Most likely it was an epileptic fit. Among the passengers we found the doctor who offered help to her. We ware allready in descent and only 20 min away from blq, so we declared PAN PAN and continued the approach. 15 min bebore landing flight attendents informed me that she started bleeding from the mouth. We requested medical assistence as soon as we have left the runway. After landing they explained to us that we have to taxi to the parking stand and that the ambulance is waiting for us there. That took us additional 5 minutes. After parking the passinger was surrendered to the rescuers.",0,4
2419091,SOR-0272-2019,Aborted take-off due to suspected bird strike,Europe and North Atlantic - Slovenia / lju / ADR33D,"During Take-off roll at LJU airport, a take-off was aborted due to a suspected bird strike.
At approximately 100kt a large bird  Buzzard (kanja) was spotted app. 150m in front and 3m to the right of the centerline. At 110 kt the bird took-off straight into the aircraft and at that point it was only 10 m in front of the aircraft heading directly into the right middle part of the fuselage. At 120kt (top speed) take-off was aborted after F intersection but before G intersection. The tower was notified and firefighters ordered. After it was obvious that the emergency equipment was not needed the fire department was canceled. The airplane was turned around to vacate via G (another aircraft on K) to position 32. Just before turning to position 32 BRAKE ORHT wrg massage was displayed on EICAS we immediately called for firefighters again. After parking, they started to cool down the brakes. ATL entry was made on BRAKE OVHT and possible bird strike. No traces of bird found at aircraft or rwy.

",0,4
2526366,SOR-0354-2019,Stick shaker,Europe and North Atlantic - Kosovo / Priština / JP157,During the approach to PRN we entered the top of the Tcu I would guess and got moderate turbulence. The autopilot was disconnected and we got momentary stick shaker. We were at around 11000ft descending on the xaxan 35a arrival with speed around 210kts in clean configuration. Copilot was PF and I was PM. He took over manually flaying and we reconnected the autopilot few seconds later. Countinoued normal approach and lended normaly. During discend I had weather radar on for a whole time and got no echoes despite using gain +1.,0,4
2339291,SOR-0076-2019,GS aural warning,Europe and North Atlantic - Montenegro / LYPG / JP852,"During visual app (left pattern) RWY 36 just before intercepting final track GLIDE SLOPE aural warning was triggered. METAR LYPG 301300Z 16006KT 140V200 9999 FEW040 SCT070 11/03 Q1000 NOSIG
Aircraft was on PAPI 2 red 2 white all the time.",0,2
1912386,ADR MOR-0131-2016,TCAS RA,EBBU / DIK VOR / 395,We were climbing to level 270. At approximate level 260 we have adviced the ATC that we were approaching level 270 and ATC then notified us about the traffic descending to level 280 and crossing our flight path. Our ROC was 1000 fpm when we received Traffic allert and we reduced our ROC to 500 fpm and observed for the traffic. After a few seconds and at approximete level 267 we got TCAS RA commandet us to descent. we folloved the commanded procedure and notified ATC (Maastricht radar 132.855). After conflict was cleared we continued to climb to level 270 and normal flight was resumed.,0,2
1892720,CAA VoOR-0003-2016,Loading of passenger luggage ,NR / Platform LOWW / JP925,We did not have information of pax baggage until SAFA inspection came on the aircraft on VIE airport. In compartment 1 was one big blue box not properly stowed and in other compartments were full of traveling boxes. Trimmer on takeoff was corrected according to the loadsheet. ,0,1
2419250,SOR-0274-2019,SOR-0272-2019 report,Europe and North Atlantic - Slovenia / lju / ADR33D,"In Addition to SOR-0272-2019 report

Brakes indications on EICAS were at 10-15-7-8",0,10
2000904,SOR-0112-2017,DEPU misunderstanding in LSZH,Europe and North Atlantic - Switzerland / lszh,"We were on apron 25 minutes before etd, getting ready for boarding. The policeman Emanuel Alexander Ekhardt accompanying two deportees in a van (DEPUs) insisted on boarding them at once for them to be on aircraft before three wheel chair passengers we were also to receive. As we were not immediately ready for boarding (I was also considering non-std to take the disabled passengers first, as the AVIOGEI had already been standing close to the aircraft), he made a remark, that we were maybe drinking coffee and that that was the reason, we were delaying boarding. As the tone of his approach was gruff, my response in his sticking nose into my business was as well not friendly. I expect him to file any kind of report, as he demanded my name. This is also the reason for writing this report.  ",0,2
